Hospital Name,State,City/Area,Address
Fate Medical Centre,Edo,Auchi,"99 Jattu/Auchi Junction, Auchi"
Christ The King Hospital,Ebonyi,Abakaliki,"85 Afikpo Road, Abakaliki"
Federal Teaching Hospital (FETHA),Ebonyi,Abakaliki,"Opposite Police Barracks, Abakaliki"
Adetade Hospital,Ekiti,Ado-Ekiti,"11 Okebola Street, Ado-Ekiti"
Kenechukwu Specialist Hospital,Enugu,Enugu,"Plot 31/32 Thinkers Estate, Thinker's Corner, Enugu"
Ntasiobi Hospital,Enugu,Enugu,"1 Enugu Abor Street, Trans Ekulu, Enugu"
Niger Foundation Hospital,Enugu,Enugu,"5 Presidential Close, Off Alvan Ikoku Street, Independence Layout, Enugu"
Royal Hospital,Enugu,Enugu,"3 Aria Road BRA, Enugu"
Dr Nlogha Okeke Memorial Medical Foundation,Enugu,Enugu,"30 Amaigbo Lane, Uwani, Enugu"
Annunciation Specialist Hospital,Enugu,Enugu,"27 Annunciation Hospital Road, Emene, Enugu"
Unity Ngwo Hospital & Maternity,Enugu,Ngwo,"Ngwo, Enugu"
Julius Ezenyirioha Memorial Hospital,Enugu,Enugu,"39 Atani Street, Abakpa-Nike, Enugu"
Mount Carmel Specialist Hospital,Enugu,Enugu,"119 Chime Avenue, New Haven, Enugu"
The Good Shepherd Hospital,Enugu,Enugu,"Christ Church Compound, Uwani, Enugu"
University of Nigeria Teaching Hospital,Enugu,Ituku Ozalla,"Enugu - Port Harcourt Expressway, Ituku Ozalla"
ESUT Teaching Hospital (Parklane),Enugu,Enugu,"G.R.A. Enugu"
Akulue Memorial Hospital,Enugu,Nsukka,"16/18 Akule Road, Onuiyi, Nsukka"
Federal Medical Centre Gombe,Gombe,Gombe,"Gombe, Gombe State"
Metro Clinic,Gombe,Gombe,"Gombe, Gombe State"
Umezuruike Hospital,Imo,Owerri,"21/23 Umezuruike Street, Owerri"
Ikenegbu Hospital & Maternity,Imo,Owerri,"Plot 11&13 Amadi Crescent, Okigwe Road Layout, Owerri"
Christiana Specialist Hospital,Imo,Owerri,"Egbu Umuoba Road, Owerri"
Ezem Medical Centre,Imo,Owerri,"2 Osuji Street, Owerri"
Uchenna Specialist Hospital and Maternity,Imo,Orlu,"10/12 Enweruzo Crescent, Uwugoirete, Orlu"
Zinna Hospital & Maternity,Imo,Orlu,"14 L.N Obioha Road, Umuna, Orlu"
Federal Medical Centre Birnin Kudu,Jigawa,Birnin Kudu,"Birnin Kudu, Jigawa State"
General Hospital Dutse,Jigawa,Dutse,"Dutse, Jigawa State"
General Hospital Hadejia,Jigawa,Hadejia,"Hadejia, Jigawa State"
Sefa Specialist Hospital,Kaduna,Kaduna,"5 College Road, Kaduna"
Diamond Hospital,Kaduna,Kaduna,"4 MM Lawal Jafaru Isa Road, Off Isah Kaita Road, U/Rimi, Kaduna"
Maneks Hospital Ltd,Kaduna,Kaduna,"A1 Block 5, Makera Road, Kakuri, Kaduna"
Giltoe Aris Specialist Hospital,Kaduna,Kaduna,"17/19 Maiduwa Road, Near Barnawa Market, Kaduna"
Garkuwa Specialist Hospital,Kaduna,Kaduna,"1A Sultan Road, Off Isa Kaita Road, Kaduna"
Alba Clinic & Medical Centre,Kaduna,Kaduna,"25 Constitution Road, Kaduna"
Al-Barka Hospital,Kaduna,Kaduna,"AU5 Gamagira Road, Barkin Ruwa, U Sanusi, Kaduna"
Covenant Hospital & Maternity,Kaduna,Kaduna,"AU6 Benin Street, Kaduna"
Horeb Specialist Hospital,Kaduna,Kaduna,"Kaduna, Kaduna State"
Restoration Hospital,Kaduna,Kaduna,"AL1 Wushishi Road, Kaduna"
Giwa Hospital,Kaduna,Kaduna,"2 Giwa Road, Abakpa GRA, Kaduna"
Harmony Hospital Kaduna,Kaduna,Kaduna,"Narayi Layout, Kaduna"
Jowako Hospital,Kaduna,Kaduna,"BZ Jos Road, Kaduna"
Almadina Clinic,Kaduna,Zaria,"Queen Elizabeth Way, GRA, Zaria"
St. Luke's Hospital,Kaduna,Zaria,"Wusasa, Zaria"
Jamaa Clinic,Kaduna,Zaria,"Samaru, Zaria"
Medical Centre Zonkwa,Kaduna,Zonkwa,"Zonkwa, Kaduna State"
Eko-General Hospital,Kaduna,Saminaka,"Saminaka, Kaduna State"
New Era Hospital Kafanchan,Kaduna,Kafanchan,"8 Funtua Street, Kafanchan"
International Clinic Kano,Kano,Kano,"40 Niger Street / 2A Airport Road, Off Murtala Muhammed Way, Kano"
Premier Clinic,Kano,Kano,"8 First Avenue, Off Court Road, Gyadi-Gyadi, Kano"
Pinnacle Specialist Hospital,Kano,Kano,"Plot 11-12 Hausawa Quarters, Kano"
Barewa Clinic & Maternity,Kano,Kano,"11 Zaria Road, Kano"
Al-Ameen Medical Centre,Kano,Kano,"Maiduguri Road, Kano"
Triumph Clinic & Maternity Ltd,Kano,Kano,"106 New Hospital Road, Extension Hausawa Quarters, Kano"
Khadijat Memorial Hospital,Kano,Kano,"20 Katsina Road, Off Hajj Camp Road, Kano"
Mohammed Abdullahi Wase Specialist Hospital,Kano,Kano,"Nasarawa, Kano"
Challawa Hospital,Kano,Kano,"Kano, Kano State"
Excellency Clinic,Kano,Kano,"Kano, Kano State"
Ivory Clinic,Kano,Kano,"Kano, Kano State"
Standard Specialist Hospital,Kano,Kano,"8A Lamido Crescent, Nasarawa, Kano"
NOL International Clinic,Kano,Kano,"1A Funtua Road, By Lamido Crescent, Kano"
Greenland Clinics and Maternity,Kano,Kano,"Sabon Gari, Kano"
General Hospital Wudil,Kano,Wudil,"Wudil, Kano State"
Alheri Clinic,Katsina,Katsina,"7 IBB Way, Kofar Kaura, Katsina"
Federal Medical Centre Katsina,Katsina,Katsina,"Katsina, Katsina State"
General Hospital Daura,Katsina,Daura,"Daura, Katsina State"
Khadijat Medical Centre Funtua,Katsina,Funtua,"Funtua, Katsina State"
Alfar Clinic & Maternity,Kebbi,Birnin Kebbi,"Birnin Kebbi, Kebbi State"
Martha Bamaiyi Hospital,Kebbi,Zuru,"Zuru, Kebbi State"
General Hospital Yauri,Kebbi,Yauri,"Yauri, Kebbi State"
Ola Olu Hospital,Kwara,Ilorin,"Murtala Mohammed Way, Ilorin"
Olalomi Hospital Ilorin,Kwara,Ilorin,"28 Stadium Road, Ilorin"
Omolola Hospital,Kwara,Ilorin,"26 Murtala Muhammed Way, Ilorin"
Royal Care Hospital,Kwara,Ilorin,"No 1 Ponyan Street GRA, Akanbi, Ilorin"
Surulere Medical Centre,Kwara,Ilorin,"47 Alikinla Street, SK Dan Alhaji Qtrs, Ilorin"
Olanrewaju Hospital,Kwara,Ilorin,"5 Oro Ago Close, GRA, Ilorin"
Owolabi Care Hospital,Kwara,Ilorin,"Offa Road, Ilorin"
Med Care Hospital,Kwara,Ilorin,"182 Pipeline Road, Opposite Ayalla Suite, Tanke-Gaa-Akanbi, Ilorin"
Akorede Clinic & Maternity,Kwara,Ilorin,"Airport Road, Ilorin"
Garin Alimi Hospital,Kwara,Ilorin,"283 Umaru Saro Road, Ilorin"
Ajisafe Hospital,Kwara,OmuAran,"Box 153, Agamo Area, GRA Road, Omu Aran"
Olalomi Hospital Offa,Kwara,Offa,"Irra Road, Offa"
Medubi Hospital,Kogi,Kabba,"Ipele Junction, Kabba"
Poly Hospital & Maternity Home Ltd,Kogi,Lokoja,"Janet Ekundayo Road, Lokoja"
Welfare Hospital & Maternity,Kogi,Okene,"17 Ikuehi Close, GRA, Okene"
Duro Soleye Hospital Ajaokuta,Kogi,Ajaokuta,"B & B Road, New German Camp, Ajaokuta"
Madonna Hospital Ankpa,Kogi,Ankpa,"23 Lagos Street, Ankpa"
Living Hope Hospital Ankpa,Kogi,Ankpa,"Ankpa, Kogi State"
Longe Medical Centre,Lagos,Abule Egba,"126 Olusegun Osoba Road, Agbado Road, Abule Egba"
Lex Medical Centre,Lagos,Ijaiye Ojokoro,"5 Raliat Alabi Street, Off Oguntolu Street, Ijaiye Ojokoro"
Ayodele Medical Centre,Lagos,Iju,"No. 1 Ayodele Close, By Adejonwo Street, Off Jonathan Coker Road, Iju"
Jefis Specialist Hospital,Lagos,Alakuko,"9 Adegbola Street, Alakuko"
Standard Life Care Hospital,Lagos,Abule Egba,"No 6 Alh. Akanbi Oreniwon Street, Off Agbe Road, Abule Egba"
